pagina,categoria,nombre_curso,seccion,nombre_taller,profesores,codigo,horario,instagram,descripcion,imagenes
4,Taller III,TALLER III: Problema y Concepto,DIS09211-01 · Gráfico,Taller Concreto,Camilo Zúñiga + Antonieta López,DIS09211 sección 1,JU 14:30 - 18:45; LU 08:30 - 12:50,@tdg.udp,"Nuestro taller es un espacio donde abordamos los principios básicos del diseño gráfico, con un enfoque aplicado a proyectos cuya ejecución busca ser lo más cercana posible a la realidad profesional. En este sentido, es importante destacar el proyecto desarrollado junto al Teatro Municipal de Santiago en el ámbito de la Interpretación Audiovisual, así como otros trabajos realizados con entidades públicas y privadas. Estas experiencias permiten que las y los estudiantes desarrollen proyectos vinculados a organizaciones relevantes del ámbito nacional y vivan instancias de acercamiento temprano al mundo laboral, significativas para su formación y desarrollo profesional. Trabajamos de manera intensiva en la conceptualización y materialización visual de los conceptos a trabajar en nuestros proyectos, profundizando en la autonomía y la toma de decisiones de nuestras y nuestros estudiantes, de modo que cada propuesta cuente con una base sólida al momento de su realización. Asimismo, ponemos un fuerte énfasis en el trabajo tipográfico, así como en la experimentación y el análisis de referentes para cada uno de los proyectos que desarrollamos.",p04_00.jpg; p04_01.jpg
5,Taller III,TALLER III: Problema y Concepto,DIS09211-02 · Gráfico,Taller Causa y Efecto,Nicolás Sagredo + Natalia Hurtado,DIS09211 sección 2,JU 14:30 - 18:45; LU 08:30 - 12:50,@tallercausaefecto,"El TALLER: PROBLEMA Y CONCEPTO es una asignatura de integración teórico-práctica con un carácter vertebral y transversal que busca articular los conocimientos adquiridos en otras asignaturas para incorporarlos en el trabajo práctico a partir de un marco metodológico de diseño. El curso fortalece las habilidades de análisis y el pensamiento crítico, motivando a las y los estudiantes a descubrir oportunidades de diseño y resolver problemas comprendiendo el diseño como una herramienta de transformación. Se ejercita la relación entre las ideas y su materialización. Profundizando en los procesos y búsquedas de representación visual. Creemos que la experimentación material de los conceptos puede abrir caminos para el encuentro con la voz propia y descubrir la potencia de la imagen en la comunicación contemporánea.",p05_00.jpg
6,Taller III,TALLER III: Problema y Concepto,DIS09211-03 · Gráfico,Taller Explora,Antonieta Necochea + Felipe Sanzana,DIS09211 sección 3,JU 14:30 - 18:45; LU 08:30 - 12:50,@tdg.explora,"En Taller Explora nos centramos en construir una base sólida para crear mensajes visuales, explorando distintas formas de abordar problemáticas desde el diseño. Más que la experimentación de materiales, el foco está en revisar distintas maneras de enfrentar cada proyecto y lo hacemos desde tres pilares fundamentales: 1. Hacemos especial énfasis en la conceptualización y el uso consciente de los elementos del diseño gráfico, como la tipografía, la composición y la narrativa visual, para crear proyectos que articulen sistemas gráficos coherentes y sensibles. 2. Fomentamos la autonomía en el proceso de cada estudiante, impulsando la investigación, el estudio crítico de referentes y el desarrollo de una voz propia. Nos interesa tomar posición desde el diseño y pensar de forma crítica, equilibrando intuición, análisis y reflexión. 3. Valoramos el proceso, entendiendo que el error es parte del camino y que perderle el miedo a explorar es clave para abrir nuevas posibilidades.",p06_00.jpg; p06_01.jpg; p06_02.jpg; p06_03.jpg
7,Taller III,TALLER III: Problema y Concepto,DIS09211-04 · Industrial,Taller de Celebración,Carolina Kusanovich + Felipe Cardemil,DIS09211 sección 4,JU 14:30 - 18:45; LU 08:30 - 12:50,@tallerdecelebracionudp,"Nuestra temática de estudio es el DISEÑO DE CELEBRACIÓN, trabajamos el comer y el beber, desde el bocado al espacio, como actos que convocan, reúnen e invitan a través del diseño. En paralelo, el taller desarrolla un proyecto vinculado al habitar de la ciudad y a los gestos cotidianos del hombre. Mediante el croquis, la observación, la investigación y la experimentación con alimento, objeto y materialidad, cada estudiante integra fundamentos técnicos con una comprensión cultural del diseño. Contamos con el Laboratorio del Alimento, una cocina móvil de investigación en diseño que permite el desarrollo de procesos exploratorios y la creación de Ágapes de celebración. Asimismo, el Laboratorio dispone de maquinaria que posibilita la fabricación tanto del alimento como de pequeños dispositivos en sala, integrando experimentación material, técnica y espacial en el proceso de diseño. Cada año el taller propone un modo de celebrar y una problemática asociada al habitar, entendidas como ocasiones únicas que permiten al estudiantado investigar, observar, proponer, construir, cotizar y conformar equipos de trabajo. Trabajamos de manera integral la observación, la conceptualización del fundamento, la experimentación, el diseño y la propuesta técnica, como ejes del proceso proyectual.",p07_00.jpg
8,Taller III,TALLER III: Problema y Concepto,DIS09211-05 · Industrial,Taller Colectivo,Juan Gili + Sebastián Romero,DIS09211 sección 5,JU 14:30 - 18:45; LU 08:30 - 12:50,@taller_colectivo,"El Taller de Diseño Industrial ""Taller Colectivo"" es una asignatura de segundo año de la UDP, enfocada en el diseño de equipamiento público, tanto efímero como permanente. Su metodología se basa en la observación y análisis de necesidades del entorno local, abarcando la ciudad, espacios culturales, parques y áreas de conservación. El taller profundiza en el desarrollo de sistemas constructivos y la problematización de temáticas públicas, permitiendo a los estudiantes explorar soluciones particulares y situadas. A través de un proceso que combina enfoques inductivos y deductivos, el curso promueve una mirada constructiva y reflexiva, en la que los estudiantes diseñan, representan, construyen e instalan sus proyectos en el espacio público.",p08_00.jpg; p08_01.jpg; p08_02.jpg; p08_03.jpg; p08_04.jpg
9,Taller III,TALLER III: Problema y Concepto,DIS09211-06 · Textil e Indumentaria,Taller Lenguaje Textil - TLT,Karla Villarroel + Beatriz Yáñez,DIS09211 sección 6,JU 14:30 - 18:45; LU 08:30 - 12:50,@tallertextil.udp,"El Taller Lenguaje Textil se sitúa cumpliendo un rol estratégico en la articulación entre el pensamiento crítico, investigación aplicada y desarrollo proyectual. Desde una perspectiva contemporánea del diseño, se concibe el medio textil como un campo complejo atravesado por tensiones ecológicas, sociales, culturales y productivas. En este marco, se aborda la relación entre artesanía y tecnología como sistemas productivos coexistentes, promoviendo la exploración entre lo manual y lo digital que amplían los modos de producción, pensamiento y expresión del diseño textil. El taller entiende el proyecto como un proceso simultáneo de aprendizaje y creación, donde la investigación de contexto, el análisis crítico de referentes y la experimentación con materiales permiten redefinir la noción de materia prima desde una perspectiva sustentable, circular y regenerativa. A través de metodologías proyectuales y del enfoque thinking through making, las y los estudiantes desarrollan una relación crítica con la materia, comprendiendo el hacer textil como una práctica reflexiva en la que el conocimiento emerge del diálogo directo con los materiales, sus comportamientos y sus posibilidades técnicas y simbólicas.",p09_00.jpg
10,Taller III,TALLER III: Problema y Concepto,DIS09211-07 · Interacción Digital,Taller Experiencia de Usuario,Carolina Pino + Dominique Tetzner,DIS09211,"LU 08:30 - 12:50, JU 14:30 - 18:45",,"El taller de Experiencia de Usuario hace énfasis en el trabajo de campo y análisis de referentes para detectar oportunidades de diseño de interacción, con propuestas de valor y objetivos proyectuales coherentes. A través de la metodología CPA -que tiene 4 pasos: 1-observar, 2-registrar, 3-ejecutar (pensar-hacer), 4-decir y mostrar show&tell-, se hará foco en el diseño de experiencias y la interacción. El taller promueve el prototipado, la iteración y la validación con usuarios, fortaleciendo la capacidad de comunicar procesos y resultados mediante narrativas visuales y conceptuales. Su enfoque prepara a los estudiantes para abordar entornos complejos y desafíos reales del ejercicio profesional del diseño contemporáneo con énfasis en el uso de herramientas y problemáticas digitales. Las y los estudiantes desarrollarán soluciones informadas que consideran diversidad, contexto e impacto social.",p10_00.jpg
12,Talleres Verticales,,,Taller Internacional (Europa),Alejandra Celedón + Serena Dambrosio + Bernardita Croxatto + Pedro Silva,FAD1018,MA 14:30 - 18:45,@tallerinternacional_udp,"El Taller Internacional es una actividad conjunta de las tres Escuelas de la FaAAD, y se pregunta por tercera vez consecutiva sobre el problema del archivo. Es una oportunidad de experimentar un acercamiento interdisciplinar que aborda el viaje como modo de conocimiento en conjunto con instituciones y agentes relevantes internacionalmente. Desde los cruces entre Arte, Arquitectura y Diseño, el taller en sus versiones anteriores indagó en las principales preguntas en torno a archivar: la tensión entre pasado y futuro, vida y muerte, el problema de la clasificación del conocimiento inherente a la organización de una colección, la imposibilidad de archivarlo todo, las políticas de poder y exclusión inherentes, los objetos y sujetos del archivo, las técnicas, entre otros. En las crisis de futuro el estatus actual de los archivos es objeto de debate. ¿Qué guardamos, para qué, y en qué soportes? De papeles a semillas, desde objetos arqueológicos a colecciones de arte y diseño, de bits a genes, de bibliotecas a data-centers, el Taller Internacional de Arquitectura, Arte y Diseño trata el problema del archivo desde las máquinas, dispositivos y lenguajes, abordando ejemplos históricos y contemporáneos.",p12_00.jpg
13,Talleres Verticales,,,Taller local: Diseño de objetos,Rodrigo Bravo + Diego Gajardo,DIS8620,MA y VI 08:30 - 12:50,@_tallerlocal,"TDL pone su mirada en nuestro entorno más cercano y sus particularidades. Con mirada de futuro, recoge datos que informan cada proyecto desde la historia y fenomenología proveniente de nuestras culturas originarias, sus artefactos y tecnología. Esta vasta mirada a nuestro pasado nos permite plantear ideas de futuro, en donde el diseño se establece como un motor para el planteamiento de soluciones que mejoren la calidad de vida. A este concepto, en donde se mira hacia atrás para plantear lo que pasará en adelante, nosotros le llamamos “Futuro Primitivo”. También planteamos una comprensión de fenómenos relacionados con nuestra geografía, en donde los materiales, las especies que la habitan, factores climáticos y culturales asumen un rol central de investigación, que más tarde se materializan en proyectos de diseño. El trabajo empírico es un gran complemento, en donde alumnxs se vuelcan al trabajo material, descubriendo las vocaciones de cada materia, perfeccionando técnicas productivas, construyendo prototipos funcionales, que perfectamente podrían habitar nuestro contexto cotidiano. De esta manera nuestro taller vertical, complementa con eficiencia y balance la investigación, la experimentación e innovación material sumado al trabajo práctico, por lo que, de esta manera, se instala como un paso previo estratégico para el futuro desarrollo de proyectos de titulación al término de la carrera.",p13_00.jpg
14,Talleres Verticales,,,Taller Editorial Ilustrado Publicaciones Necesarias,Jennifer King,DIS8622,MA 14:30 - 18:45; VI 08:30 - 12:50,@taller_editorial_ilustrado,"Taller ""Publicaciones Necesarias"" El taller propone abordar un problema social en el que un elemento comunicativo pueda contribuir a su resolución. Se enfoca en publicaciones no tradicionales, ilustradas e innovadoras, desarrolladas mediante un enfoque colaborativo y una metodología ""embudo"". Es un espacio de aprendizaje exigente y enriquecedor que entregará como resultado una publicación real y gratuita. Este semestre contará con la participación de un profesor adjunto proveniente de la disciplina del periodismo, quien aportará un énfasis especial en la generación de contenido escrito y la experimentación de conjuntos mediáticos. Desafío Semestre 1_2026 El desafío de este semestre será continuar con la forma en que la Escuela de Diseño continúe sus próximos 30 años generando un registro sólido de su comunidad y el entorno. El esfuerzo busca corregir el vacío sistemático de registros y archivo del pasado Además del desconocimiento entre los componentes sociales que la integran: la comunidad académica, la estudiantil y todos los demás. Con periodicidad anual, se establecerá un ""modo comunicacional nuevo"", informal, distinto, concebido como una bitácora líquida del año anterior, –un anuario– siempre en evolución, que proyecte la identidad de la Escuela hacia el futuro de una manera contracultural e innovadora. Todo lo que te interesa podrá salir en la 081.",p14_00.jpg; p14_01.jpg
